Subject,Status,Start Time,End Time,Size,Read,Transferred,Duration
SECOM,Success,上午 07:29:06,上午 10:33:04,931.5 GB,493.5 GB,420.9 MB,3:03:58
MAWF,Success,下午 01:19:21,下午 02:34:02,400 GB,257.1 GB,500.7 MB,1:14:41
SECOM,Success,下午 02:28:03,下午 04:51:46,931.5 GB,493.6 GB,903.9 MB,2:23:43
MAWF,Success,下午 05:18:11,下午 06:56:06,400 GB,257.1 GB,1.2 GB,1:37:54
SECOM,Success,下午 08:27:46,下午 10:54:20,931.5 GB,493.6 GB,245.9 MB,2:26:33
MAWF,Success,上午 09:17:43,上午 10:46:00,400 GB,257.1 GB,156.2 MB,1:28:16
MAWF,Success,下午 01:36:49,下午 03:02:12,400 GB,257.1 GB,111.7 MB,1:25:23
MAWF,Success,下午 06:18:08,下午 07:41:46,400 GB,257.1 GB,372.7 MB,1:23:37
MAWF,Success,下午 09:17:50,下午 11:02:16,400 GB,257.1 GB,304.7 MB,1:44:26
MAWF,Success,上午 12:16:51,上午 02:53:42,400 GB,21.2 GB,21.1 GB,2:36:50
MAWF,Success,上午 07:18:34,上午 08:10:45,400 GB,257.1 GB,195.2 MB,0:52:10
MAWF,Success,上午 10:18:08,上午 11:50:19,400 GB,257.1 GB,213.2 MB,1:32:11
MAWF,Success,下午 04:18:00,下午 05:43:43,400 GB,257.1 GB,192.7 MB,1:25:42
MAWF,Success,下午 07:17:48,下午 08:27:50,400 GB,257.1 GB,459.2 MB,1:10:01
SECOM,Success,下午 07:27:52,下午 10:05:53,931.5 GB,495.3 GB,394 MB,2:38:01
MAWF,Success,下午 11:18:18,上午 01:01:43,400 GB,257.1 GB,199.7 MB,1:43:24
SECOM,Success,上午 07:28:06,上午 10:32:39,931.5 GB,495.3 GB,263 MB,3:04:32
MAWF,Success,上午 10:17:47,上午 11:16:22,400 GB,257.1 GB,506.7 MB,0:58:34
MAWF,Success,下午 02:18:04,下午 04:25:00,400 GB,257.2 GB,318.2 MB,2:06:55
MAWF,Success,下午 11:17:59,上午 12:58:40,400 GB,257.2 GB,194.7 MB,1:40:41
MAWF,Success,上午 10:17:43,上午 11:44:25,400 GB,257.5 GB,659.7 MB,1:26:42
MAWF,Success,下午 02:18:12,下午 04:38:32,400 GB,257.5 GB,446.2 MB,2:20:19
SECOM,Success,下午 06:28:04,下午 08:47:18,931.5 GB,493.3 GB,1 GB,2:19:14
MAWF,Success,下午 07:30:05,下午 08:56:58,400 GB,257.5 GB,1.3 GB,1:26:52
MAWF,Success,下午 11:18:11,上午 01:50:09,400 GB,257.5 GB,209.7 MB,2:31:57
SECOM,Success,上午 06:27:49,上午 09:55:59,931.5 GB,493.1 GB,334.4 MB,3:28:10
SECOM,Success,下午 12:28:07,下午 02:09:41,931.5 GB,493.2 GB,1.1 GB,1:41:33
SECOM,Success,下午 12:28:07,下午 02:09:41,931.5 GB,493.2 GB,1.1 GB,1:41:33
MAWF,Success,下午 02:18:06,下午 03:59:07,400 GB,257.5 GB,267.7 MB,1:41:00
MAWF,Success,下午 05:18:04,下午 07:36:31,400 GB,257.6 GB,1.3 GB,2:18:26
MAWF,Success,下午 10:17:53,下午 11:47:27,400 GB,257.5 GB,196.2 MB,1:29:34
SECOM,Success,下午 09:27:52,下午 11:59:15,931.5 GB,493.2 GB,1.8 GB,2:31:23
MAWF,Success,上午 03:21:40,上午 06:27:18,400 GB,257.6 GB,677.7 MB,3:05:37
SECOM,Success,上午 06:28:17,上午 08:59:56,931.5 GB,495.1 GB,763.5 MB,2:31:39
MAWF,Success,上午 09:18:06,上午 10:45:02,400 GB,257.6 GB,178.7 MB,1:26:56
MAWF,Success,下午 12:18:06,下午 01:54:02,400 GB,257.6 GB,303.7 MB,1:35:56
MAWF,Success,下午 07:18:02,下午 08:48:49,400 GB,257.6 GB,386.2 MB,1:30:46
MAWF,Success,下午 10:17:53,下午 11:30:32,400 GB,257.6 GB,189.2 MB,1:12:39
SECOM,Success,下午 10:28:03,上午 01:10:54,931.5 GB,495.2 GB,1.5 GB,2:42:51
MAWF,Success,上午 03:18:26,上午 06:06:05,400 GB,257.6 GB,642.2 MB,2:47:38
SECOM,Success,上午 05:27:52,上午 08:03:05,931.5 GB,493.7 GB,862.4 MB,2:35:13
MAWF,Success,下午 12:17:46,下午 01:16:45,400 GB,257.6 GB,226.7 MB,0:58:59
MAWF,Success,下午 04:58:18,下午 06:21:45,400 GB,257.6 GB,179.7 MB,1:23:26
SECOM,Success,上午 05:27:58,上午 08:29:26,931.5 GB,494.3 GB,364.4 MB,3:01:28
MAWF,Success,下午 09:18:14,下午 11:35:28,400 GB,257.6 GB,233.2 MB,2:17:14
SECOM,Success,上午 05:27:56,上午 07:59:31,931.5 GB,493.5 GB,438.4 MB,2:31:35
MAWF,Success,上午 08:17:58,上午 09:46:45,400 GB,257.6 GB,172.2 MB,1:28:46
MAWF,Success,上午 11:17:47,下午 01:00:06,400 GB,257.6 GB,349.7 MB,1:42:18
SECOM,Success,上午 11:27:56,下午 01:42:41,931.5 GB,493.5 GB,1.5 GB,2:14:45
MAWF,Success,下午 05:25:51,下午 07:22:13,400 GB,257.6 GB,148.7 MB,1:56:21
MAWF,Success,上午 09:18:00,上午 10:34:26,400 GB,257.6 GB,257.2 MB,1:16:26
MAWF,Success,下午 01:17:53,下午 03:44:26,400 GB,257.6 GB,275.2 MB,2:26:33
MAWF,Success,下午 06:37:02,下午 08:34:54,400 GB,257.6 GB,254.2 MB,1:57:52
MAWF,Success,下午 11:18:04,上午 01:48:19,400 GB,257.6 GB,196.2 MB,2:30:14
MAWF,Success,上午 09:17:52,上午 10:42:14,400 GB,257.6 GB,182.7 MB,1:24:21
SECOM,Success,上午 08:28:16,上午 10:47:02,931.5 GB,493.6 GB,997.4 MB,2:18:45
MAWF,Success,下午 05:19:40,下午 06:31:49,400 GB,257.6 GB,1.1 GB,1:12:08
SECOM,Success,下午 05:27:44,下午 07:56:01,931.5 GB,493.6 GB,697.9 MB,2:28:16
MAWF,Success,下午 11:17:53,上午 12:45:33,400 GB,257.6 GB,273.2 MB,1:27:40
SECOM,Success,下午 11:28:14,上午 02:37:49,931.5 GB,493.6 GB,974.9 MB,3:09:35
MAWF,Success,上午 06:17:51,上午 07:38:06,400 GB,257.6 GB,270.2 MB,1:20:15
MAWF,Success,上午 10:17:50,下午 12:32:30,400 GB,257.6 GB,173.2 MB,2:14:40
MAWF,Success,下午 02:18:07,下午 04:36:46,400 GB,257.7 GB,233.2 MB,2:18:38
MAWF,Success,下午 07:18:07,下午 09:24:52,400 GB,257.7 GB,371.2 MB,2:06:44
MAWF,Success,上午 10:18:07,上午 11:43:27,400 GB,258.1 GB,374.8 MB,1:25:19
MAWF,Success,下午 10:17:46,下午 11:17:16,400 GB,258.2 GB,200.3 MB,0:59:30
MAWF,Success,上午 08:18:08,上午 09:41:37,400 GB,258.2 GB,445.3 MB,1:23:28
MAWF,Success,下午 12:18:05,下午 01:56:51,400 GB,258.2 GB,1020.8 MB,1:38:45
SECOM,Success,下午 03:27:57,下午 05:09:24,931.5 GB,493.9 GB,427.4 MB,1:41:27
MAWF,Success,下午 04:17:49,下午 06:54:12,400 GB,258.2 GB,331.3 MB,2:36:22
SECOM,Success,上午 12:27:56,上午 03:16:37,931.5 GB,494 GB,4 GB,2:48:40
MAWF,Success,上午 07:17:44,上午 09:04:47,400 GB,258.3 GB,243.8 MB,1:47:03
MAWF,Success,上午 11:18:01,下午 01:01:52,400 GB,258.3 GB,491.8 MB,1:43:51
MAWF,Success,上午 04:21:48,上午 07:38:09,400 GB,258.4 GB,388.3 MB,3:16:20
SECOM,Success,上午 07:28:06,上午 09:55:16,931.5 GB,494.2 GB,628.9 MB,2:27:10
MAWF,Success,下午 02:17:55,下午 03:47:22,400 GB,258.4 GB,195.8 MB,1:29:26
SECOM,Success,下午 01:28:04,下午 04:00:53,931.5 GB,494.2 GB,2.6 GB,2:32:48
MAWF,Success,下午 11:18:23,上午 01:57:57,400 GB,258.4 GB,197.3 MB,2:39:33
MAWF,Success,上午 11:17:48,下午 12:50:28,400 GB,258.4 GB,530.3 MB,1:32:40
MAWF,Success,下午 02:17:48,下午 03:20:46,400 GB,258.4 GB,1 GB,1:02:57
SECOM,Success,下午 02:27:59,下午 04:50:55,931.5 GB,494.3 GB,669.4 MB,2:22:55
MAWF,Success,下午 04:17:50,下午 05:37:48,400 GB,258.5 GB,1 GB,1:19:57
MAWF,Success,下午 08:17:56,下午 09:28:48,400 GB,258.5 GB,206.8 MB,1:10:51
SECOM,Success,下午 08:27:59,下午 11:13:19,931.5 GB,494.3 GB,537.4 MB,2:45:19
MAWF,Success,下午 06:17:59,下午 07:54:06,400 GB,258.6 GB,2.3 GB,1:36:06
MAWF,Success,下午 09:17:59,下午 10:27:58,400 GB,258.6 GB,210.8 MB,1:09:59
SECOM,Success,下午 09:28:06,上午 12:22:41,931.5 GB,494.4 GB,1.3 GB,2:54:35
SECOM,Success,上午 04:28:03,上午 07:16:19,931.5 GB,495.3 GB,1.1 GB,2:48:15
MAWF,Success,上午 11:31:12,下午 12:54:16,400 GB,258.6 GB,1.5 GB,1:23:03
MAWF,Success,下午 07:18:38,下午 08:49:58,400 GB,258.8 GB,1.8 GB,1:31:19
MAWF,Success,下午 11:18:12,上午 12:17:56,400 GB,258.8 GB,202.3 MB,0:59:44
MAWF,Success,上午 08:17:56,上午 09:39:28,400 GB,258.8 GB,195.3 MB,1:21:32
MAWF,Success,下午 05:33:07,下午 06:52:18,400 GB,258.9 GB,1.1 GB,1:19:11
