Subject,Date,Start Time,End Time,Size,Read,Transferred,Duration
NAS,2024-03-01,下午 11:57:14,上午 12:00:34,48 GB,123 MB,30.7 MB,0:03:20
Sales_Portal,2024-03-01,上午 12:00:21,上午 12:06:37,64 GB,637 MB,113.6 MB,0:06:15
SECOM,2024-03-01,下午 08:15:18,上午 12:11:49,931.5 GB,497 GB,212.1 MB,3:56:31
SECOM,2024-03-01,上午 12:15:11,上午 12:18:25,931.5 GB,4.9 GB,1.2 GB,0:03:14
MediaWiki,2024-03-01,上午 12:25:12,上午 12:26:15,51.5 GB,21 MB,3.9 MB,0:01:02
NAS,2024-03-01,上午 12:26:22,上午 12:28:44,51.5 GB,21 MB,4 MB,0:02:22
Jira,2024-03-01,上午 12:35:15,上午 12:38:01,300 GB,2.5 GB,634.7 MB,0:02:46
NAS,2024-03-01,上午 12:37:57,上午 12:40:19,300 GB,2.5 GB,634.7 MB,0:02:22
NAS,2024-03-01,上午 12:46:50,上午 12:51:15,68 GB,34 MB,3.7 MB,0:04:24
Mantis,2024-03-01,上午 12:45:17,上午 12:54:24,68 GB,34 MB,3.6 MB,0:09:07
MAWF,2024-03-01,下午 11:05:05,上午 01:01:45 (+1),400 GB,258.6 GB,116.7 MB,1:56:39
MAWF,2024-03-01,上午 01:01:54,上午 01:04:17,400 GB,276 MB,108.6 MB,0:02:23
SECOM,2024-03-01,上午 01:15:01,上午 01:16:54,931.5 GB,592 MB,177.4 MB,0:01:52
IOC_RMA_PDR,2024-03-01,上午 12:55:10,上午 01:19:44,48 GB,137 MB,31.6 MB,0:24:34
MAWF,2024-03-01,上午 12:05:03,上午 01:19:50,400 GB,18.8 GB,10.6 GB,1:14:46
NAS,2024-03-01,上午 01:20:16,上午 01:24:39,48 GB,133 MB,31.6 MB,0:04:23
SSRS,2024-03-01,上午 01:00:15,上午 01:24:59,100.6 GB,4.9 GB,1.7 GB,0:24:44
MediaWiki,2024-03-01,上午 01:25:04,上午 01:26:05,51.5 GB,17 MB,3.5 MB,0:01:00
NAS,2024-03-01,上午 01:25:22,上午 01:27:43,100.6 GB,4.2 GB,1.7 GB,0:02:21
NAS,2024-03-01,上午 01:26:14,上午 01:29:35,51.5 GB,17 MB,3.5 MB,0:03:21
MAWF,2024-03-01,上午 01:05:22,上午 01:30:34,400 GB,24.3 GB,3.5 GB,0:25:11
MAWF,2024-03-01,上午 01:30:29,上午 01:35:49,400 GB,24 GB,3.5 GB,0:05:20
Jira,2024-03-01,上午 01:35:07,上午 01:36:52,300 GB,854 MB,167.8 MB,0:01:44
NAS,2024-03-01,上午 01:37:03,上午 01:39:24,300 GB,852 MB,167.8 MB,0:02:21
Mantis,2024-03-01,上午 01:45:10,上午 01:45:56,68 GB,35 MB,6.4 MB,0:00:46
NAS,2024-03-01,上午 01:45:56,上午 01:47:15,68 GB,35 MB,6.4 MB,0:01:18
IOC_RMA_PDR,2024-03-01,上午 01:55:06,上午 01:57:12,48 GB,226 MB,113.3 MB,0:02:05
NAS,2024-03-01,上午 01:57:27,上午 02:00:56,48 GB,223 MB,113.3 MB,0:03:29
SSRS,2024-03-01,上午 02:00:12,上午 02:06:51,400 GB,4.7 GB,1.2 GB,0:06:39
NAS,2024-03-01,上午 02:07:38,上午 02:10:00,400 GB,4.6 GB,1.2 GB,0:02:22
SECOM,2024-03-01,上午 12:18:39,上午 02:11:39,931.5 GB,4.9 GB,1.2 GB,1:52:59
SECOM,2024-03-01,上午 02:11:48,上午 02:13:04,931.5 GB,582 MB,177.5 MB,0:01:16
SECOM,2024-03-01,上午 02:15:16,上午 02:30:43,931.5 GB,616 MB,186.2 MB,0:15:26
MediaWiki,2024-03-01,上午 02:25:17,上午 02:31:15,51.5 GB,12 MB,2.9 MB,0:05:58
SECOM,2024-03-01,上午 02:30:40,上午 02:31:57,931.5 GB,609 MB,186.2 MB,0:01:16
NAS,2024-03-01,上午 02:31:27,上午 02:32:45,51.5 GB,12 MB,2.9 MB,0:01:18
Jira,2024-03-01,上午 02:35:18,上午 02:36:14,300 GB,235 MB,56.3 MB,0:00:56
NAS,2024-03-01,上午 02:36:27,上午 02:37:45,300 GB,233 MB,56.3 MB,0:01:18
Mantis,2024-03-01,上午 02:45:19,上午 02:46:09,68 GB,48 MB,7.4 MB,0:00:50
NAS,2024-03-01,上午 02:46:05,上午 02:47:21,68 GB,48 MB,7.4 MB,0:01:16
SECOM,2024-03-01,上午 03:15:21,上午 03:16:31,931.5 GB,399 MB,116.3 MB,0:01:10
SECOM,2024-03-01,上午 03:16:30,上午 03:17:47,931.5 GB,394 MB,116.4 MB,0:01:16
MAWF,2024-03-01,上午 02:05:14,上午 03:21:14,400 GB,258.6 GB,235.9 MB,1:15:59
MAWF,2024-03-01,上午 03:21:08,上午 03:22:24,400 GB,960 MB,227.8 MB,0:01:16
MediaWiki,2024-03-01,上午 03:25:22,上午 03:26:10,51.5 GB,14 MB,3.8 MB,0:00:48
NAS,2024-03-01,上午 03:26:09,上午 03:27:28,51.5 GB,14 MB,3.8 MB,0:01:18
IOC_RMA_PDR,2024-03-01,上午 02:55:03,上午 03:29:01,48 GB,147 MB,32.5 MB,0:33:57
SECOM,2024-03-01,上午 12:15:14,上午 03:29:19,931.5 GB,498.6 GB,4.6 GB,3:14:05
ELSE,2024-03-01,上午 03:00:10,上午 03:29:50,128 GB,561 MB,118.2 MB,0:29:40
NAS,2024-03-01,上午 03:30:21,上午 03:32:43,128 GB,532 MB,118.2 MB,0:02:22
NAS,2024-03-01,上午 03:29:34,上午 03:33:55,48 GB,144 MB,32.6 MB,0:04:20
Jira,2024-03-01,上午 03:35:01,上午 03:35:57,300 GB,226 MB,58.3 MB,0:00:56
NAS,2024-03-01,上午 03:36:10,上午 03:37:29,300 GB,224 MB,58.3 MB,0:01:18
Mantis,2024-03-01,上午 03:45:02,上午 03:45:47,68 GB,32 MB,3.8 MB,0:00:44
NAS,2024-03-01,上午 03:45:48,上午 03:47:05,68 GB,32 MB,3.8 MB,0:01:16
IOC_RMA_PDR,2024-03-01,上午 03:55:01,上午 03:56:49,48 GB,78 MB,22.1 MB,0:01:48
NAS,2024-03-01,上午 03:57:45,上午 04:01:05,48 GB,75 MB,22.1 MB,0:03:20
ELSE,2024-03-01,上午 04:00:05,上午 04:01:24,50 GB,681 MB,186 MB,0:01:18
MAWF,2024-03-01,上午 04:05:04,上午 04:06:19,400 GB,1 GB,219.3 MB,0:01:14
MAWF,2024-03-01,上午 04:06:14,上午 04:07:32,400 GB,667 MB,219.1 MB,0:01:18
NAS,2024-03-01,上午 04:01:40,上午 04:07:32,50 GB,680 MB,186 MB,0:05:52
MediaWiki,2024-03-01,上午 04:25:06,上午 04:26:01,51.5 GB,10 MB,2.6 MB,0:00:54
NAS,2024-03-01,上午 04:26:16,上午 04:27:34,51.5 GB,10 MB,2.6 MB,0:01:18
Jira,2024-03-01,上午 04:35:07,上午 04:36:12,300 GB,235 MB,53.5 MB,0:01:04
NAS,2024-03-01,上午 04:36:16,上午 04:37:35,300 GB,233 MB,53.5 MB,0:01:18
Mantis,2024-03-01,上午 04:45:08,上午 04:46:06,68 GB,29 MB,3.5 MB,0:00:58
NAS,2024-03-01,上午 04:46:17,上午 04:47:34,68 GB,29 MB,3.5 MB,0:01:16
MAWF,2024-03-01,上午 05:05:09,上午 05:06:28,400 GB,268 MB,101.4 MB,0:01:18
MAWF,2024-03-01,上午 05:06:42,上午 05:07:58,400 GB,258 MB,101.2 MB,0:01:16
MediaWiki,2024-03-01,上午 05:25:11,上午 05:26:11,51.5 GB,13 MB,2.9 MB,0:01:00
NAS,2024-03-01,上午 05:26:20,上午 05:27:39,51.5 GB,13 MB,2.9 MB,0:01:18
Jira,2024-03-01,上午 05:35:12,上午 05:36:12,300 GB,236 MB,57.6 MB,0:01:00
NAS,2024-03-01,上午 05:36:21,上午 05:37:38,300 GB,233 MB,57.6 MB,0:01:16
Mantis,2024-03-01,上午 05:45:12,上午 05:46:05,68 GB,30 MB,3.5 MB,0:00:52
NAS,2024-03-01,上午 05:45:59,上午 05:47:15,68 GB,30 MB,3.5 MB,0:01:16
MAWF,2024-03-01,上午 06:05:14,上午 06:06:42,400 GB,428 MB,153.1 MB,0:01:28
MAWF,2024-03-01,上午 06:06:46,上午 06:08:03,400 GB,411 MB,152.9 MB,0:01:16
SECOM,2024-03-01,上午 04:15:05,上午 06:18:51,931.5 GB,498.9 GB,455.5 MB,2:03:45
SECOM,2024-03-01,上午 06:19:06,上午 06:20:22,931.5 GB,1.4 GB,440.1 MB,0:01:16
MediaWiki,2024-03-01,上午 06:25:16,上午 06:26:06,51.5 GB,41 MB,9.3 MB,0:00:50
NAS,2024-03-01,上午 06:26:02,上午 06:27:21,51.5 GB,41 MB,9.3 MB,0:01:18
Jira,2024-03-01,上午 06:35:17,上午 06:36:19,300 GB,381 MB,87 MB,0:01:02
NAS,2024-03-01,上午 06:36:26,上午 06:37:47,300 GB,379 MB,87.1 MB,0:01:20
MAWF,2024-03-01,上午 02:05:17,上午 06:44:42,400 GB,256.7 GB,12.7 GB,4:39:25
IOC_RMA_PDR,2024-03-01,上午 04:55:20,上午 06:45:15,48 GB,240 MB,52.7 MB,1:49:55
Mantis,2024-03-01,上午 06:45:18,上午 06:46:09,68 GB,95 MB,13.9 MB,0:00:50
NAS,2024-03-01,上午 06:46:04,上午 06:47:23,68 GB,94 MB,13.9 MB,0:01:18
PDM2,2024-03-01,上午 05:00:02,上午 06:47:21,400 GB,1.8 GB,264.1 MB,1:47:19
ELSE,2024-03-01,上午 06:00:06,上午 06:48:02,64 GB,203 MB,32.8 MB,0:47:56
NAS,2024-03-01,上午 06:45:16,上午 06:49:37,48 GB,238 MB,52.7 MB,0:04:21
NAS,2024-03-01,上午 06:47:37,上午 06:49:59,400 GB,585 MB,264 MB,0:02:21
NAS,2024-03-01,上午 06:48:24,上午 06:50:45,64 GB,134 MB,32.8 MB,0:02:20
IOC_RMA_PDR,2024-03-01,上午 06:55:03,上午 06:57:02,48 GB,73 MB,21.5 MB,0:01:58
NAS,2024-03-01,上午 06:57:25,上午 07:00:46,48 GB,70 MB,21.5 MB,0:03:21
ELSE,2024-03-01,上午 07:00:09,上午 07:02:55,32 GB,726 MB,215 MB,0:02:45
NAS,2024-03-01,上午 07:02:31,上午 07:04:52,32 GB,716 MB,215 MB,0:02:20
SECOM,2024-03-01,上午 07:15:21,上午 07:27:49,931.5 GB,1.2 GB,340.9 MB,0:12:28
MediaWiki,2024-03-01,上午 07:25:22,上午 07:28:36,51.5 GB,242 MB,46.7 MB,0:03:14
SECOM,2024-03-01,上午 07:28:04,上午 07:29:22,931.5 GB,1.1 GB,341 MB,0:01:18
NAS,2024-03-01,上午 07:28:50,上午 07:30:10,51.5 GB,242 MB,46.7 MB,0:01:20
Jira,2024-03-01,上午 07:35:00,上午 07:36:08,300 GB,214 MB,53.9 MB,0:01:08
NAS,2024-03-01,上午 07:36:09,上午 07:37:28,300 GB,212 MB,54 MB,0:01:18
Mantis,2024-03-01,上午 07:45:01,上午 07:46:01,68 GB,35 MB,4.7 MB,0:01:00
NAS,2024-03-01,上午 07:46:10,上午 07:47:29,68 GB,35 MB,4.7 MB,0:01:18
SECOM,2024-03-01,上午 08:15:04,上午 08:16:42,931.5 GB,659 MB,165.7 MB,0:01:38
SECOM,2024-03-01,上午 08:16:36,上午 08:17:54,931.5 GB,647 MB,165.8 MB,0:01:18
MAWF,2024-03-01,上午 07:05:15,上午 08:24:22,400 GB,256.7 GB,673.2 MB,1:19:06
IOC_RMA_PDR,2024-03-01,上午 07:55:23,上午 08:25:11,48 GB,2.1 GB,1.8 GB,0:29:48
MediaWiki,2024-03-01,上午 08:25:04,上午 08:26:05,51.5 GB,28 MB,5.3 MB,0:01:00
ELSE,2024-03-01,上午 08:00:06,上午 08:25:56,160 GB,177 MB,77.7 MB,0:25:50
NAS,2024-03-01,上午 08:26:14,上午 08:27:34,51.5 GB,28 MB,5.3 MB,0:01:20
NAS,2024-03-01,上午 08:25:12,上午 08:28:33,48 GB,2.1 GB,1.8 GB,0:03:21
NAS,2024-03-01,上午 08:26:23,上午 08:28:43,160 GB,176 MB,77.7 MB,0:02:20
Jira,2024-03-01,上午 08:35:06,上午 08:36:06,300 GB,225 MB,55.5 MB,0:01:00
NAS,2024-03-01,上午 08:36:15,上午 08:37:33,300 GB,225 MB,55.6 MB,0:01:18
SECOM,2024-03-01,上午 04:15:23,上午 08:39:47,931.5 GB,498.6 GB,1.2 GB,4:24:24
Mantis,2024-03-01,上午 08:45:07,上午 08:45:57,68 GB,41 MB,6.7 MB,0:00:50
NAS,2024-03-01,上午 08:45:53,上午 08:47:12,68 GB,40 MB,6.7 MB,0:01:18
MAWF,2024-03-01,上午 07:05:20,上午 08:49:57,400 GB,258.6 GB,131.5 MB,1:44:37
MAWF,2024-03-01,上午 08:50:08,上午 08:51:25,400 GB,330 MB,123.4 MB,0:01:16
IOC_RMA_PDR,2024-03-01,上午 08:55:20,上午 08:57:04,48 GB,285 MB,49.4 MB,0:01:44
NAS,2024-03-01,上午 08:57:41,上午 09:01:01,48 GB,285 MB,49.4 MB,0:03:19
MAWF,2024-03-01,上午 09:05:10,上午 09:06:10,400 GB,466 MB,154 MB,0:01:00
MAWF,2024-03-01,上午 09:06:19,上午 09:07:36,400 GB,417 MB,153.8 MB,0:01:16
NAS,2024-03-01,上午 02:07:38,上午 02:10:00,400 GB,4.6 GB,1.2 GB,0:02:22
MediaWiki,2024-03-01,上午 09:25:11,上午 09:26:20,51.5 GB,198 MB,89.5 MB,0:01:08
NAS,2024-03-01,上午 09:26:21,上午 09:27:40,51.5 GB,196 MB,89.5 MB,0:01:18
Jira,2024-03-01,上午 09:35:12,上午 09:36:17,300 GB,271 MB,66.8 MB,0:01:04
NAS,2024-03-01,上午 09:36:22,上午 09:37:38,300 GB,267 MB,66.9 MB,0:01:16
Mantis,2024-03-01,上午 09:45:13,上午 09:46:12,68 GB,92 MB,33 MB,0:00:58
NAS,2024-03-01,上午 09:46:22,上午 09:47:39,68 GB,92 MB,33.1 MB,0:01:16
Configuration,2024-03-01,上午 10:00:14,上午 10:00:40,N/A,N/A,N/A,0:00:25
Configuration,2024-03-01,上午 10:00:17,上午 10:01:06,N/A,N/A,N/A,0:00:48
MAWF,2024-03-01,上午 10:05:15,上午 10:06:35,400 GB,328 MB,105.4 MB,0:01:20
MAWF,2024-03-01,上午 10:06:47,上午 10:08:04,400 GB,325 MB,105.2 MB,0:01:16
MediaWiki,2024-03-01,上午 10:25:16,上午 10:26:31,51.5 GB,301 MB,120.4 MB,0:01:14
NAS,2024-03-01,上午 10:26:25,上午 10:27:44,51.5 GB,288 MB,120.4 MB,0:01:18
Jira,2024-03-01,上午 10:35:17,上午 10:36:35,300 GB,477 MB,109.4 MB,0:01:18
NAS,2024-03-01,上午 10:36:49,上午 10:38:08,300 GB,475 MB,109.4 MB,0:01:18
Mantis,2024-03-01,上午 10:45:18,上午 10:46:22,68 GB,229 MB,46.8 MB,0:01:04
NAS,2024-03-01,上午 10:46:27,上午 10:47:46,68 GB,126 MB,46.8 MB,0:01:18
MAWF,2024-03-01,上午 11:05:19,上午 11:07:06,400 GB,604 MB,226.7 MB,0:01:46
MAWF,2024-03-01,上午 11:07:15,上午 11:08:33,400 GB,596 MB,226.6 MB,0:01:18
MediaWiki,2024-03-01,上午 11:25:20,上午 11:26:37,51.5 GB,265 MB,104.9 MB,0:01:16
NAS,2024-03-01,上午 11:26:30,上午 11:27:50,51.5 GB,264 MB,105 MB,0:01:20
Jira,2024-03-01,上午 11:35:21,上午 11:38:53,300 GB,2.8 GB,1.9 GB,0:03:31
NAS,2024-03-01,上午 11:38:49,上午 11:40:08,300 GB,2.8 GB,1.9 GB,0:01:18
SECOM,2024-03-01,上午 09:15:11,上午 11:41:16,931.5 GB,498.9 GB,674.8 MB,2:26:05
SECOM,2024-03-01,上午 11:41:08,上午 11:42:25,931.5 GB,2.1 GB,659.4 MB,0:01:16
Mantis,2024-03-01,上午 11:45:22,上午 11:46:09,68 GB,63 MB,19.5 MB,0:00:46
NAS,2024-03-01,上午 11:46:09,上午 11:47:27,68 GB,60 MB,19.5 MB,0:01:18
IOC_RMA_PDR,2024-03-01,上午 09:55:13,下午 12:00:55,48 GB,968 MB,252.5 MB,2:05:41
NAS,2024-03-01,下午 12:00:53,下午 12:04:14,48 GB,850 MB,252.5 MB,0:03:21
MAWF,2024-03-01,下午 12:05:10,下午 12:11:37,400 GB,619.5 MB,608.3 MB,0:06:27
SECOM,2024-03-01,下午 12:15:02,下午 12:48:34,931.5 GB,2.8 GB,1.1 GB,0:33:31
MediaWiki,2024-03-01,下午 12:25:03,下午 12:49:38,51.5 GB,329 MB,133.8 MB,0:24:35
SECOM,2024-03-01,下午 12:48:34,下午 12:49:52,931.5 GB,2.6 GB,1.1 GB,0:01:18
Jira,2024-03-01,下午 12:35:04,下午 12:50:41,300 GB,464 MB,119.2 MB,0:15:37
NAS,2024-03-01,下午 12:49:43,下午 12:51:02,51.5 GB,329 MB,133.8 MB,0:01:18
Mantis,2024-03-01,下午 12:45:05,下午 12:51:06,68 GB,81 MB,20.2 MB,0:06:00
NAS,2024-03-01,下午 12:50:53,下午 12:52:11,300 GB,464 MB,119.3 MB,0:01:18
NAS,2024-03-01,下午 12:51:16,下午 12:52:35,68 GB,80 MB,20.2 MB,0:01:18
MAWF,2024-03-01,下午 12:05:01,下午 12:53:51,400 GB,258.6 GB,152.9 MB,0:48:49
MAWF,2024-03-01,下午 12:53:58,下午 12:55:14,400 GB,500 MB,144.8 MB,0:01:16
IOC_RMA_PDR,2024-03-01,下午 12:55:07,下午 12:57:11,48 GB,163 MB,51.8 MB,0:02:04
NAS,2024-03-01,下午 12:57:27,下午 01:00:48,48 GB,162 MB,51.8 MB,0:03:20
MAWF,2024-03-01,下午 01:05:08,下午 01:06:09,400 GB,330 MB,106.4 MB,0:01:00
MAWF,2024-03-01,下午 01:06:18,下午 01:07:34,400 GB,313 MB,106.3 MB,0:01:16
SECOM,2024-03-01,下午 01:15:09,下午 01:16:24,931.5 GB,330 MB,91.4 MB,0:01:14
SECOM,2024-03-01,下午 01:16:19,下午 01:17:36,931.5 GB,324 MB,91.5 MB,0:01:16
MediaWiki,2024-03-01,下午 01:25:11,下午 01:26:05,51.5 GB,161 MB,79.2 MB,0:00:54
NAS,2024-03-01,下午 01:25:57,下午 01:27:16,51.5 GB,161 MB,79.2 MB,0:01:18
Jira,2024-03-01,下午 01:35:12,下午 01:36:20,300 GB,376 MB,93.3 MB,0:01:08
NAS,2024-03-01,下午 01:36:21,下午 01:37:38,300 GB,375 MB,93.3 MB,0:01:16
SECOM,2024-03-01,上午 09:15:16,下午 01:40:23,931.5 GB,498.6 GB,1.9 GB,4:25:07
Mantis,2024-03-01,下午 01:45:13,下午 01:45:57,68 GB,42 MB,12.2 MB,0:00:44
NAS,2024-03-01,下午 01:45:59,下午 01:47:16,68 GB,42 MB,12.2 MB,0:01:16
IOC_RMA_PDR,2024-03-01,下午 01:55:11,下午 01:57:16,48 GB,174 MB,61.4 MB,0:02:05
NAS,2024-03-01,下午 01:57:55,下午 02:02:15,48 GB,168 MB,61.4 MB,0:04:20
MAWF,2024-03-01,下午 02:05:15,下午 02:06:31,400 GB,465 MB,137.2 MB,0:01:16
MAWF,2024-03-01,下午 02:06:24,下午 02:07:41,400 GB,449 MB,137 MB,0:01:16
MAWF,2024-03-01,下午 01:05:15,下午 02:16:58,400 GB,256.7 GB,208.7 MB,1:11:42
MediaWiki,2024-03-01,下午 02:25:17,下午 02:26:23,51.5 GB,204 MB,87.6 MB,0:01:06
NAS,2024-03-01,下午 02:26:27,下午 02:27:45,51.5 GB,203 MB,87.6 MB,0:01:18
Jira,2024-03-01,下午 02:35:18,下午 02:36:41,300 GB,736 MB,293.7 MB,0:01:22
NAS,2024-03-01,下午 02:36:51,下午 02:38:09,300 GB,733 MB,293.7 MB,0:01:18
Mantis,2024-03-01,下午 02:45:19,下午 02:46:18,68 GB,76 MB,28 MB,0:00:58
NAS,2024-03-01,下午 02:46:29,下午 02:47:47,68 GB,76 MB,28 MB,0:01:18
IOC_RMA_PDR,2024-03-01,下午 02:55:00,下午 02:57:05,48 GB,222 MB,70.4 MB,0:02:05
NAS,2024-03-01,下午 02:57:21,下午 03:00:41,48 GB,220 MB,70.4 MB,0:03:19
MAWF,2024-03-01,下午 03:05:21,下午 05:31:15,400 GB,258.6 GB,154.8 MB,2:25:53
MediaWiki,2024-03-01,下午 03:25:22,下午 05:31:59,51.5 GB,262 MB,102.9 MB,2:06:36
MAWF,2024-03-01,下午 05:31:09,下午 05:32:29,400 GB,532 MB,146.7 MB,0:01:20
NAS,2024-03-01,下午 05:31:56,下午 05:33:16,51.5 GB,259 MB,102.9 MB,0:01:20
Jira,2024-03-01,下午 03:35:00,下午 05:34:17,300 GB,1.9 GB,940.8 MB,1:59:16
Mantis,2024-03-01,下午 03:45:01,下午 05:34:42,68 GB,129 MB,35.9 MB,1:49:40
NAS,2024-03-01,下午 05:34:15,下午 05:35:33,300 GB,1.8 GB,940.9 MB,0:01:18
NAS,2024-03-01,下午 05:34:38,下午 05:35:56,68 GB,129 MB,35.9 MB,0:01:18
Jira,2024-03-01,下午 05:35:01,下午 05:36:06,300 GB,220 MB,46.5 MB,0:01:04
NAS,2024-03-01,下午 05:36:11,下午 05:37:29,300 GB,218 MB,46.6 MB,0:01:18
SECOM,2024-03-01,下午 02:15:16,下午 05:45:35,931.5 GB,498.9 GB,579.2 MB,3:30:18
Mantis,2024-03-01,下午 05:45:02,下午 05:45:55,68 GB,27 MB,6.8 MB,0:00:52
SECOM,2024-03-01,下午 05:45:26,下午 05:46:42,931.5 GB,1.8 GB,563.7 MB,0:01:16
NAS,2024-03-01,下午 05:45:49,下午 05:47:08,68 GB,27 MB,6.8 MB,0:01:18
IOC_RMA_PDR,2024-03-01,下午 03:55:18,下午 05:53:53,48 GB,537 MB,227.1 MB,1:58:35
IOC_RMA_PDR,2024-03-01,下午 05:55:19,下午 05:57:14,48 GB,73 MB,23.9 MB,0:01:55
NAS,2024-03-01,下午 05:54:08,下午 05:58:30,48 GB,532 MB,227.1 MB,0:04:21
MAWF,2024-03-01,下午 03:05:12,下午 05:58:34,400 GB,256.7 GB,542.2 MB,2:53:22
NAS,2024-03-01,下午 05:59:14,下午 06:02:36,48 GB,73 MB,23.9 MB,0:03:22
MAWF,2024-03-01,下午 06:05:07,下午 06:07:56,400 GB,3.5 GB,1 GB,0:02:48
MAWF,2024-03-01,下午 06:07:50,下午 06:10:07,400 GB,2.5 GB,1 GB,0:02:16
SECOM,2024-03-01,下午 06:15:09,下午 06:18:00,931.5 GB,1.9 GB,547.7 MB,0:02:50
SECOM,2024-03-01,下午 06:18:15,下午 06:19:31,931.5 GB,1.9 GB,547.7 MB,0:01:16
MediaWiki,2024-03-01,下午 06:25:12,下午 06:26:38,51.5 GB,196 MB,75.4 MB,0:01:26
NAS,2024-03-01,下午 06:26:44,下午 06:29:03,51.5 GB,195 MB,75.4 MB,0:02:18
SECOM,2024-03-01,下午 02:15:05,下午 06:30:38,931.5 GB,498.6 GB,2.6 GB,4:15:33
Jira,2024-03-01,下午 06:35:14,下午 06:36:30,300 GB,486 MB,153.4 MB,0:01:16
NAS,2024-03-01,下午 06:36:23,下午 06:37:42,300 GB,484 MB,153.5 MB,0:01:18
Mantis,2024-03-01,下午 06:45:16,下午 06:46:14,68 GB,54 MB,17.3 MB,0:00:58
NAS,2024-03-01,下午 06:46:25,下午 06:47:44,68 GB,54 MB,17.3 MB,0:01:18
IOC_RMA_PDR,2024-03-01,下午 06:55:13,下午 06:57:22,48 GB,211 MB,60.7 MB,0:02:08
NAS,2024-03-01,下午 06:57:34,下午 07:01:54,48 GB,205 MB,60.7 MB,0:04:20
ELSE,2024-03-01,下午 07:00:19,下午 07:02:28,100 GB,1.3 GB,387 MB,0:02:09
NAS,2024-03-01,下午 07:02:39,下午 07:05:01,100 GB,1.1 GB,387 MB,0:02:21
MAWF,2024-03-01,下午 07:05:19,下午 07:07:54,400 GB,2.8 GB,492 MB,0:02:34
MAWF,2024-03-01,下午 07:08:01,下午 07:13:19,400 GB,2.8 GB,491.8 MB,0:05:17
MAWF,2024-03-01,下午 06:05:06,下午 07:25:32,400 GB,256.7 GB,1.6 GB,1:20:26
MediaWiki,2024-03-01,下午 07:25:22,下午 07:26:23,51.5 GB,115 MB,45 MB,0:01:00
NAS,2024-03-01,下午 07:26:32,下午 07:27:53,51.5 GB,115 MB,45 MB,0:01:20
Jira,2024-03-01,下午 07:35:01,下午 07:35:51,300 GB,204 MB,51.6 MB,0:00:50
NAS,2024-03-01,下午 07:35:47,下午 07:37:05,300 GB,202 MB,51.6 MB,0:01:18
Mantis,2024-03-01,下午 07:45:02,下午 07:45:52,68 GB,61 MB,19.4 MB,0:00:50
NAS,2024-03-01,下午 07:45:48,下午 07:47:06,68 GB,60 MB,19.4 MB,0:01:18
IOC_RMA_PDR,2024-03-01,下午 07:55:09,下午 07:57:04,48 GB,112 MB,31 MB,0:01:55
NAS,2024-03-01,下午 07:57:06,下午 08:00:28,48 GB,109 MB,31 MB,0:03:21
ELSE,2024-03-01,下午 08:00:15,下午 08:03:44,100 GB,3.3 GB,727.8 MB,0:03:29
NAS,2024-03-01,下午 08:04:09,下午 08:06:30,100 GB,2.8 GB,727.7 MB,0:02:20
MAWF,2024-03-01,下午 08:05:20,下午 08:20:30,400 GB,1.7 GB,1.7 GB,0:15:10
IOC_RMA_PDR,2024-03-01,下午 08:55:02,下午 08:57:07,48 GB,122 MB,32.6 MB,0:02:04
NAS,2024-03-01,下午 08:57:47,下午 09:01:08,48 GB,121 MB,32.6 MB,0:03:21
PLM,2024-03-01,下午 09:00:07,下午 09:09:40,1.3 TB,11.5 GB,4.9 GB,0:09:32
MAWF,2024-03-01,下午 09:05:13,下午 09:13:59,400 GB,226.5 MB,213.8 MB,0:08:45
MAWF,2024-03-01,下午 08:05:03,下午 09:55:55,400 GB,258.7 GB,127.1 MB,1:50:51
MediaWiki,2024-03-01,下午 08:25:05,下午 09:56:32,51.5 GB,147 MB,56.5 MB,1:31:26
Jira,2024-03-01,下午 08:35:06,下午 09:57:21,300 GB,264 MB,63.7 MB,1:22:14
IOC_RMA_PDR,2024-03-01,下午 09:55:02,下午 09:57:22,48 GB,114 MB,30.5 MB,0:02:19
Mantis,2024-03-01,下午 08:45:07,下午 09:58:04,68 GB,65 MB,12.7 MB,1:12:56
NAS,2024-03-01,下午 09:57:13,下午 09:58:32,300 GB,261 MB,63.7 MB,0:01:18
NAS,2024-03-01,下午 09:56:26,下午 09:58:45,51.5 GB,147 MB,56.5 MB,0:02:18
NAS,2024-03-01,下午 09:58:00,下午 09:59:20,68 GB,64 MB,12.7 MB,0:01:20
ReverseProxy,2024-03-01,下午 10:00:09,下午 10:01:45,40 GB,479 MB,155.2 MB,0:01:35
MAWF,2024-03-01,下午 10:05:19,下午 10:06:39,400 GB,493 MB,172.1 MB,0:01:20
NAS,2024-03-01,下午 10:02:31,下午 10:07:01,40 GB,477 MB,155.2 MB,0:04:30
MAWF,2024-03-01,下午 10:06:51,下午 10:08:09,400 GB,472 MB,171.9 MB,0:01:18
SECOM,2024-03-01,下午 07:15:21,下午 10:09:57,931.5 GB,499 GB,136.3 MB,2:54:35
SECOM,2024-03-01,下午 10:09:56,下午 10:11:13,931.5 GB,399 MB,120.9 MB,0:01:16
SECOM,2024-03-01,下午 10:15:20,下午 10:16:44,931.5 GB,1.2 GB,406.8 MB,0:01:24
SECOM,2024-03-01,下午 10:16:52,下午 10:18:09,931.5 GB,1.2 GB,406.9 MB,0:01:16
